trust_code,trust_name,total_attendances,within_4hrs,source_file,compliance_pct
-,-,2240668.0,1668983.0,April-2024-AE-by-provider-24y7F-revised.xls,74.49
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",29145.0,21375.0,April-2024-AE-by-provider-24y7F-revised.xls,73.34
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",41516.0,31763.0,April-2024-AE-by-provider-24y7F-revised.xls,76.51
QHL,NHS Birmingham And Solihull Integrated Care Board,54567.0,39854.0,April-2024-AE-by-provider-24y7F-revised.xls,73.04
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",34753.0,25464.0,April-2024-AE-by-provider-24y7F-revised.xls,73.27
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",53523.0,40520.0,April-2024-AE-by-provider-24y7F-revised.xls,75.71
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,35557.0,23313.0,April-2024-AE-by-provider-24y7F-revised.xls,65.57
QYG,NHS Cheshire And Merseyside Integrated Care Board,118583.0,85481.0,April-2024-AE-by-provider-24y7F-revised.xls,72.09
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,17472.0,13810.0,April-2024-AE-by-provider-24y7F-revised.xls,79.04
QWU,NHS Coventry And Warwickshire Integrated Care Board,38086.0,28130.0,April-2024-AE-by-provider-24y7F-revised.xls,73.86
QHM,NHS North East And North Cumbria Integrated Care Board,138097.0,106350.0,April-2024-AE-by-provider-24y7F-revised.xls,77.01
QJK,NHS Devon Integrated Care Board,41917.0,29120.0,April-2024-AE-by-provider-24y7F-revised.xls,69.47
QVV,NHS Dorset Integrated Care Board,26085.0,19273.0,April-2024-AE-by-provider-24y7F-revised.xls,73.89
QMF,NHS North East London Integrated Care Board,85823.0,63536.0,April-2024-AE-by-provider-24y7F-revised.xls,74.03
QNQ,NHS Frimley Integrated Care Board,34702.0,25829.0,April-2024-AE-by-provider-24y7F-revised.xls,74.43
QR1,NHS Gloucestershire Integrated Care Board,19804.0,14610.0,April-2024-AE-by-provider-24y7F-revised.xls,73.77
QOP,NHS Greater Manchester Integrated Care Board,119841.0,81107.0,April-2024-AE-by-provider-24y7F-revised.xls,67.68
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,65227.0,48493.0,April-2024-AE-by-provider-24y7F-revised.xls,74.34
QE1,NHS Lancashire And South Cumbria Integrated Care Board,72455.0,56393.0,April-2024-AE-by-provider-24y7F-revised.xls,77.83
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,26288.0,17259.0,April-2024-AE-by-provider-24y7F-revised.xls,65.65
QM7,NHS Hertfordshire And West Essex Integrated Care Board,45429.0,33388.0,April-2024-AE-by-provider-24y7F-revised.xls,73.49
QOQ,NHS Humber And North Yorkshire Integrated Care Board,64319.0,45428.0,April-2024-AE-by-provider-24y7F-revised.xls,70.63
QJ2,NHS Derby And Derbyshire Integrated Care Board,49664.0,37881.0,April-2024-AE-by-provider-24y7F-revised.xls,76.27
QKS,NHS Kent And Medway Integrated Care Board,90615.0,73947.0,April-2024-AE-by-provider-24y7F-revised.xls,81.61
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",36158.0,27210.0,April-2024-AE-by-provider-24y7F-revised.xls,75.25
QJM,NHS Lincolnshire Integrated Care Board,29119.0,21653.0,April-2024-AE-by-provider-24y7F-revised.xls,74.36
QH8,NHS Mid And South Essex Integrated Care Board,35468.0,27277.0,April-2024-AE-by-provider-24y7F-revised.xls,76.91
QMM,NHS Norfolk And Waveney Integrated Care Board,36344.0,28045.0,April-2024-AE-by-provider-24y7F-revised.xls,77.17
QMJ,NHS North Central London Integrated Care Board,70058.0,50056.0,April-2024-AE-by-provider-24y7F-revised.xls,71.45
QRV,NHS North West London Integrated Care Board,99783.0,80530.0,April-2024-AE-by-provider-24y7F-revised.xls,80.71
QPM,NHS Northamptonshire Integrated Care Board,32824.0,25783.0,April-2024-AE-by-provider-24y7F-revised.xls,78.55
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,39333.0,27525.0,April-2024-AE-by-provider-24y7F-revised.xls,69.98
QKK,NHS South East London Integrated Care Board,79058.0,57812.0,April-2024-AE-by-provider-24y7F-revised.xls,73.13
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board",16318.0,9822.0,April-2024-AE-by-provider-24y7F-revised.xls,60.19
QSL,NHS Somerset Integrated Care Board,22697.0,17777.0,April-2024-AE-by-provider-24y7F-revised.xls,78.32
QWE,NHS South West London Integrated Care Board,58578.0,45229.0,April-2024-AE-by-provider-24y7F-revised.xls,77.21
QF7,NHS South Yorkshire Integrated Care Board,56880.0,42127.0,April-2024-AE-by-provider-24y7F-revised.xls,74.06
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,23492.0,16598.0,April-2024-AE-by-provider-24y7F-revised.xls,70.65
QJG,NHS Suffolk And North East Essex Integrated Care Board,35819.0,27079.0,April-2024-AE-by-provider-24y7F-revised.xls,75.6
QXU,NHS Surrey Heartlands Integrated Care Board,33621.0,24817.0,April-2024-AE-by-provider-24y7F-revised.xls,73.81
QNX,NHS Sussex Integrated Care Board,63541.0,49256.0,April-2024-AE-by-provider-24y7F-revised.xls,77.52
QUA,NHS Black Country Integrated Care Board,78661.0,61165.0,April-2024-AE-by-provider-24y7F-revised.xls,77.76
QWO,NHS West Yorkshire Integrated Care Board,89448.0,66898.0,April-2024-AE-by-provider-24y7F-revised.xls,74.79
-,-,2297421.0,1718099.0,April-2025-AE-by-provider-sfo2q-revised.xls,74.78
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",27676.0,18516.0,April-2025-AE-by-provider-sfo2q-revised.xls,66.9
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",41383.0,32056.0,April-2025-AE-by-provider-sfo2q-revised.xls,77.46
QHL,NHS Birmingham And Solihull Integrated Care Board,54838.0,39610.0,April-2025-AE-by-provider-sfo2q-revised.xls,72.23
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",35366.0,25898.0,April-2025-AE-by-provider-sfo2q-revised.xls,73.23
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",58080.0,45400.0,April-2025-AE-by-provider-sfo2q-revised.xls,78.17
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,35546.0,25264.0,April-2025-AE-by-provider-sfo2q-revised.xls,71.07
QYG,NHS Cheshire And Merseyside Integrated Care Board,122238.0,88975.0,April-2025-AE-by-provider-sfo2q-revised.xls,72.79
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,19195.0,15213.0,April-2025-AE-by-provider-sfo2q-revised.xls,79.26
QWU,NHS Coventry And Warwickshire Integrated Care Board,35941.0,26108.0,April-2025-AE-by-provider-sfo2q-revised.xls,72.64
QHM,NHS North East And North Cumbria Integrated Care Board,147193.0,114645.0,April-2025-AE-by-provider-sfo2q-revised.xls,77.89
QJK,NHS Devon Integrated Care Board,44379.0,31373.0,April-2025-AE-by-provider-sfo2q-revised.xls,70.69
QVV,NHS Dorset Integrated Care Board,28233.0,20983.0,April-2025-AE-by-provider-sfo2q-revised.xls,74.32
